timestamp_utc,timestamp_ist,open,high,low,close,tick_count,average_spread
2026-07-14 19:25:00,2026-07-15 00:55:00,4052.7,4053.535,4052.405,4053.275,216,0.701
2026-07-14 19:26:00,2026-07-15 00:56:00,4053.315,4053.315,4052.46,4052.52,183,0.719
2026-07-14 19:27:00,2026-07-15 00:57:00,4052.675,4053.185,4052.155,4052.155,186,0.701
2026-07-14 19:28:00,2026-07-15 00:58:00,4052.115,4052.475,4051.565,4051.905,234,0.701
2026-07-14 19:29:00,2026-07-15 00:59:00,4051.955,4052.325,4051.425,4051.805,227,0.703
2026-07-14 19:30:00,2026-07-15 01:00:00,4051.765,4051.845,4048.835,4049.085,326,0.705
2026-07-14 19:31:00,2026-07-15 01:01:00,4049.145,4051.395,4048.42,4050.625,280,0.702
2026-07-14 19:32:00,2026-07-15 01:02:00,4050.575,4050.995,4047.72,4049.495,322,0.703
2026-07-14 19:33:00,2026-07-15 01:03:00,4049.715,4050.585,4048.855,4050.475,247,0.7
2026-07-14 19:34:00,2026-07-15 01:04:00,4050.445,4050.505,4049.57,4050.415,204,0.701
2026-07-14 19:35:00,2026-07-15 01:05:00,4050.335,4050.515,4049.49,4050.095,225,0.701
2026-07-14 19:36:00,2026-07-15 01:06:00,4050.115,4052.305,4049.935,4052.305,175,0.7
2026-07-14 19:37:00,2026-07-15 01:07:00,4052.315,4052.335,4051.575,4051.925,183,0.701
2026-07-14 19:38:00,2026-07-15 01:08:00,4051.895,4052.395,4051.055,4051.115,157,0.7
2026-07-14 19:39:00,2026-07-15 01:09:00,4051.145,4051.365,4050.815,4051.295,173,0.7
2026-07-14 19:40:00,2026-07-15 01:10:00,4051.275,4051.525,4050.755,4051.265,160,0.701
2026-07-14 19:41:00,2026-07-15 01:11:00,4051.405,4051.815,4050.485,4050.505,204,0.7
2026-07-14 19:42:00,2026-07-15 01:12:00,4050.635,4051.085,4050.405,4050.585,191,0.701
2026-07-14 19:43:00,2026-07-15 01:13:00,4050.605,4052.435,4050.455,4052.285,151,0.701
2026-07-14 19:44:00,2026-07-15 01:14:00,4052.315,4052.955,4052.275,4052.695,205,0.7
2026-07-14 19:45:00,2026-07-15 01:15:00,4052.625,4053.895,4052.625,4053.875,156,0.701
2026-07-14 19:46:00,2026-07-15 01:16:00,4053.905,4054.835,4053.62,4054.495,179,0.7
2026-07-14 19:47:00,2026-07-15 01:17:00,4054.395,4054.395,4053.735,4053.965,195,0.701
2026-07-14 19:48:00,2026-07-15 01:18:00,4053.925,4053.925,4052.985,4053.395,160,0.721
2026-07-14 19:49:00,2026-07-15 01:19:00,4053.365,4053.615,4052.375,4052.755,188,0.718
2026-07-14 19:50:00,2026-07-15 01:20:00,4052.795,4053.455,4051.88,4052.715,266,0.713
2026-07-14 19:51:00,2026-07-15 01:21:00,4052.735,4052.925,4051.645,4051.955,171,0.72
2026-07-14 19:52:00,2026-07-15 01:22:00,4052.035,4053.495,4051.925,4053.215,212,0.7
2026-07-14 19:53:00,2026-07-15 01:23:00,4053.075,4055.875,4052.945,4055.725,218,0.701
2026-07-14 19:54:00,2026-07-15 01:24:00,4055.755,4056.975,4055.385,4055.6,267,0.705
2026-07-14 19:55:00,2026-07-15 01:25:00,4055.855,4056.185,4054.825,4054.905,204,0.701
2026-07-14 19:56:00,2026-07-15 01:26:00,4055.245,4056.805,4054.925,4056.455,237,0.7
2026-07-14 19:57:00,2026-07-15 01:27:00,4056.495,4057.025,4055.845,4056.165,227,0.701
2026-07-14 19:58:00,2026-07-15 01:28:00,4056.155,4056.565,4055.395,4056.245,325,0.713
2026-07-14 19:59:00,2026-07-15 01:29:00,4056.305,4057.005,4055.495,4055.91,343,0.713
2026-07-14 20:00:00,2026-07-15 01:30:00,4055.885,4056.585,4054.275,4055.055,190,0.707
2026-07-14 20:01:00,2026-07-15 01:31:00,4055.035,4055.765,4054.755,4055.655,115,0.7
2026-07-14 20:02:00,2026-07-15 01:32:00,4055.605,4055.735,4054.645,4054.905,103,0.7
2026-07-14 20:03:00,2026-07-15 01:33:00,4054.815,4055.375,4054.275,4054.795,92,0.7
2026-07-14 20:04:00,2026-07-15 01:34:00,4054.695,4055.455,4054.685,4054.985,68,0.759
2026-07-14 20:05:00,2026-07-15 01:35:00,4055.015,4055.69,4054.645,4055.555,104,0.7
2026-07-14 20:06:00,2026-07-15 01:36:00,4055.545,4055.595,4055.01,4055.235,75,0.754
2026-07-14 20:07:00,2026-07-15 01:37:00,4055.265,4055.685,4054.995,4054.995,85,0.7
2026-07-14 20:08:00,2026-07-15 01:38:00,4055.055,4055.745,4054.775,4054.925,80,0.7
2026-07-14 20:09:00,2026-07-15 01:39:00,4054.885,4054.995,4054.715,4054.845,56,0.7
2026-07-14 20:10:00,2026-07-15 01:40:00,4054.885,4055.015,4054.525,4054.735,66,0.701
2026-07-14 20:11:00,2026-07-15 01:41:00,4054.715,4054.935,4054.015,4054.455,84,0.701
2026-07-14 20:12:00,2026-07-15 01:42:00,4054.485,4055.575,4054.355,4054.915,64,0.701
2026-07-14 20:13:00,2026-07-15 01:43:00,4054.855,4055.135,4054.345,4054.775,59,0.701
2026-07-14 20:14:00,2026-07-15 01:44:00,4054.785,4054.785,4053.655,4053.655,87,0.7
2026-07-14 20:15:00,2026-07-15 01:45:00,4053.645,4054.485,4053.645,4054.485,61,0.7
2026-07-14 20:16:00,2026-07-15 01:46:00,4054.455,4054.625,4053.955,4054.135,57,0.7
2026-07-14 20:17:00,2026-07-15 01:47:00,4054.165,4054.375,4053.865,4054.325,78,0.701
2026-07-14 20:18:00,2026-07-15 01:48:00,4054.345,4054.37,4053.765,4053.825,81,0.7
2026-07-14 20:19:00,2026-07-15 01:49:00,4053.805,4053.805,4052.715,4052.855,54,0.701
2026-07-14 20:20:00,2026-07-15 01:50:00,4052.825,4053.005,4052.445,4052.595,58,0.7
2026-07-14 20:21:00,2026-07-15 01:51:00,4052.625,4053.28,4052.235,4053.165,85,0.749
2026-07-14 20:22:00,2026-07-15 01:52:00,4053.215,4054.195,4053.155,4053.605,55,0.701
2026-07-14 20:23:00,2026-07-15 01:53:00,4053.655,4054.005,4053.075,4053.075,54,0.701
2026-07-14 20:24:00,2026-07-15 01:54:00,4053.145,4053.915,4053.145,4053.915,61,0.7
2026-07-14 20:25:00,2026-07-15 01:55:00,4053.88,4053.945,4053.175,4053.905,101,0.7
2026-07-14 20:26:00,2026-07-15 01:56:00,4053.86,4054.185,4053.355,4053.945,70,0.7
2026-07-14 20:27:00,2026-07-15 01:57:00,4053.875,4053.935,4052.795,4053.085,97,0.7
2026-07-14 20:28:00,2026-07-15 01:58:00,4053.135,4053.445,4052.855,4053.445,52,0.701
2026-07-14 20:29:00,2026-07-15 01:59:00,4053.235,4053.325,4052.835,4053.155,77,0.701
2026-07-14 20:30:00,2026-07-15 02:00:00,4053.455,4053.575,4052.545,4053.365,101,0.7
2026-07-14 20:31:00,2026-07-15 02:01:00,4053.275,4053.625,4052.66,4052.865,65,0.701
2026-07-14 20:32:00,2026-07-15 02:02:00,4052.835,4053.195,4052.265,4052.335,56,0.7
2026-07-14 20:33:00,2026-07-15 02:03:00,4052.235,4052.355,4051.206,4051.285,71,0.745
2026-07-14 20:34:00,2026-07-15 02:04:00,4051.352,4051.991,4051.22,4051.368,87,1.025
2026-07-14 20:35:00,2026-07-15 02:05:00,4051.376,4052.266,4050.5,4050.655,96,0.747
2026-07-14 20:36:00,2026-07-15 02:06:00,4050.695,4051.285,4050.205,4050.585,98,0.7
2026-07-14 20:37:00,2026-07-15 02:07:00,4050.615,4050.935,4050.175,4050.465,83,0.7
2026-07-14 20:38:00,2026-07-15 02:08:00,4050.595,4050.745,4050.235,4050.615,47,0.701
2026-07-14 20:39:00,2026-07-15 02:09:00,4050.585,4051.135,4050.205,4050.305,88,0.701
2026-07-14 20:40:00,2026-07-15 02:10:00,4050.415,4051.125,4050.335,4051.125,31,0.7
2026-07-14 20:41:00,2026-07-15 02:11:00,4051.075,4051.525,4050.675,4051.115,75,0.701
2026-07-14 20:42:00,2026-07-15 02:12:00,4051.135,4051.905,4051.085,4051.755,68,0.7
2026-07-14 20:43:00,2026-07-15 02:13:00,4051.725,4051.935,4050.47,4050.485,73,0.701
2026-07-14 20:44:00,2026-07-15 02:14:00,4050.755,4050.755,4049.805,4050.625,80,0.7
2026-07-14 20:45:00,2026-07-15 02:15:00,4050.345,4050.415,4049.425,4050.125,94,0.701
2026-07-14 20:46:00,2026-07-15 02:16:00,4050.145,4050.965,4049.565,4050.865,106,0.701
2026-07-14 20:47:00,2026-07-15 02:17:00,4050.835,4051.135,4050.545,4051.135,75,0.701
2026-07-14 20:48:00,2026-07-15 02:18:00,4051.215,4051.285,4050.895,4050.995,47,0.701
2026-07-14 20:49:00,2026-07-15 02:19:00,4051.045,4051.345,4050.18,4050.285,70,0.701
2026-07-14 20:50:00,2026-07-15 02:20:00,4050.245,4050.775,4049.245,4049.675,89,0.7
2026-07-14 20:51:00,2026-07-15 02:21:00,4049.625,4051.185,4049.535,4051.065,89,0.7
2026-07-14 20:52:00,2026-07-15 02:22:00,4051.095,4052.125,4050.6,4052.095,90,0.701
2026-07-14 20:53:00,2026-07-15 02:23:00,4052.085,4053.025,4052.085,4052.835,35,0.7
2026-07-14 20:54:00,2026-07-15 02:24:00,4052.875,4052.875,4052.335,4052.425,50,0.701
2026-07-14 20:55:00,2026-07-15 02:25:00,4052.375,4053.045,4052.185,4052.995,67,0.701
2026-07-14 20:56:00,2026-07-15 02:26:00,4052.945,4053.125,4052.605,4053.065,60,0.701
2026-07-14 20:57:00,2026-07-15 02:27:00,4053.055,4053.165,4052.655,4052.725,66,0.7
2026-07-14 20:58:00,2026-07-15 02:28:00,4052.775,4053.155,4052.515,4053.125,77,0.701
2026-07-14 20:59:00,2026-07-15 02:29:00,4053.155,4054.275,4051.705,4054.225,113,0.874
2026-07-14 22:00:00,2026-07-15 03:30:00,4053.27,4053.75,4051.685,4052.13,219,1.137
2026-07-14 22:01:00,2026-07-15 03:31:00,4052.46,4052.97,4051.815,4052.47,61,0.891
2026-07-14 22:02:00,2026-07-15 03:32:00,4052.495,4053.53,4052.495,4052.76,79,0.882
2026-07-14 22:03:00,2026-07-15 03:33:00,4052.65,4052.95,4051.635,4052.495,69,0.874
2026-07-14 22:04:00,2026-07-15 03:34:00,4052.525,4053.33,4052.145,4053.24,41,0.884
2026-07-14 22:05:00,2026-07-15 03:35:00,4053.225,4053.25,4052.34,4052.525,36,0.864
2026-07-14 22:06:00,2026-07-15 03:36:00,4052.49,4053.105,4052.07,4052.615,34,0.883
2026-07-14 22:07:00,2026-07-15 03:37:00,4052.58,4052.815,4052.155,4052.315,36,0.885
2026-07-14 22:08:00,2026-07-15 03:38:00,4052.42,4052.42,4051.53,4051.625,58,0.884
2026-07-14 22:09:00,2026-07-15 03:39:00,4051.6,4052.01,4051.535,4051.84,56,0.863
2026-07-14 22:10:00,2026-07-15 03:40:00,4051.87,4051.87,4050.13,4050.64,85,0.852
2026-07-14 22:11:00,2026-07-15 03:41:00,4050.61,4051.31,4050.24,4051.22,87,0.851
2026-07-14 22:12:00,2026-07-15 03:42:00,4051.2,4051.2,4049.25,4049.33,94,0.851
2026-07-14 22:13:00,2026-07-15 03:43:00,4049.31,4050.41,4049.03,4050.35,120,0.928
2026-07-14 22:14:00,2026-07-15 03:44:00,4050.425,4051.525,4050.185,4050.785,96,0.88
2026-07-14 22:15:00,2026-07-15 03:45:00,4050.765,4050.955,4049.505,4050.475,104,0.884
2026-07-14 22:16:00,2026-07-15 03:46:00,4050.45,4050.535,4049.21,4049.905,97,0.862
2026-07-14 22:17:00,2026-07-15 03:47:00,4049.705,4050.695,4049.365,4050.405,99,0.819
2026-07-14 22:18:00,2026-07-15 03:48:00,4050.43,4050.835,4049.875,4050.385,78,0.931
2026-07-14 22:19:00,2026-07-15 03:49:00,4050.405,4051.195,4050.275,4050.535,85,0.819
2026-07-14 22:20:00,2026-07-15 03:50:00,4050.515,4051.84,4050.285,4051.395,108,0.899
2026-07-14 22:21:00,2026-07-15 03:51:00,4051.365,4052.075,4051.365,4051.635,79,0.819
2026-07-14 22:22:00,2026-07-15 03:52:00,4051.695,4052.225,4051.605,4051.605,60,0.819
2026-07-14 22:23:00,2026-07-15 03:53:00,4051.575,4051.805,4049.87,4050.25,106,0.797
2026-07-14 22:24:00,2026-07-15 03:54:00,4050.28,4050.5,4049.78,4050.2,137,0.898
